payitem_number,payitem_desc,unit,quantity,county,district,contract,item,awarded_price,letting_date,id
AR107508,L-806 W C 8' INTERNALLY LIT,EACH,2.000,COLES,7,CO065,001A,8573.95,11/9/2018,
AR108108,1/C #8 5 KV UG CABLE,L.F.,16683.000,COLES,7,CO065,001A,1.89,11/9/2018,
AR108158,1/C #8 5 KV UG CABLE IN UD,L.F.,22475.000,COLES,7,CO065,001A,2.28,11/9/2018,
AR109200,INSTALL ELECTRICAL EQUIPMENT,L.S.,1.000,COLES,7,CO065,001A,67489.1,11/9/2018,
AR110012,"2"" DIRECTIONAL BORE",L.F.,710.000,COLES,7,CO065,001A,11.88,11/9/2018,
AR110013,"3"" DIRECTIONAL BORE",L.F.,1110.000,COLES,7,CO065,001A,16.61,11/9/2018,
AR110202,"2"" PVC DUCT, DIRECT BURY",L.F.,4053.000,COLES,7,CO065,001A,10.29,11/9/2018,
AR110203,"3"" PVC DUCT, DIRECT BURY",L.F.,960.000,COLES,7,CO065,001A,14.23,11/9/2018,
AR115610,ELECTRICAL HANDHOLE,EACH,6.000,COLES,7,CO065,001A,4081.13,11/9/2018,
AR125410,MITL-STAKE MOUNTED,EACH,156.000,COLES,7,CO065,001A,719.26,11/9/2018,
AR125415,MITL-BASE MOUNTED,EACH,105.000,COLES,7,CO065,001A,1134.54,11/9/2018,
AR125565,SPLICE CAN,EACH,3.000,COLES,7,CO065,001A,1137.26,11/9/2018,
AR150510,ENGINEER'S FIELD OFFICE,L.S.,1.000,COLES,7,CO065,001A,6506.63,11/9/2018,
AR150520,MOBILIZATION,L.S.,1.000,COLES,7,CO065,001A,5478.03,11/9/2018,
AR800476,REMOVE AIRFIELD LIGHTING,L.S.,1.000,COLES,7,CO065,001A,15648.17,11/9/2018,
AR800545,MITL-BASE MOUNTED SIZE D,EACH,16.000,COLES,7,CO065,001A,1399.97,11/9/2018,
A2C02501,T-CERCIS CANAD 1   CG,EACH,2.000,CHAMPAIGN,5,91576,96,375,11/9/2018,
A2C056G3,T-QUERC MACR    CG 3G,EACH,1.000,CHAMPAIGN,5,91576,96,375,11/9/2018,
A2000114,T-ACERX FREM AB 1-3/4,EACH,111.000,WINNEBAGO,2,64B87,45,390,11/9/2018,
A2000220,T-ACERX FREM MM 2-1/2,EACH,3.000,KANE,1,61F04,83,475,11/9/2018,
A2000220,T-ACERX FREM MM 2-1/2,EACH,5.000,WINNEBAGO,2,46903,99,540.1,11/9/2018,
A2001016,T-ACER RUBRM        2,EACH,9.000,LAWRENCE,7,74619,27,310,11/9/2018,
A2001120,T-ACER RUB OG   2-1/2,EACH,9.000,ADAMS,6,93711,101,500,11/9/2018,
A2001220,T-ACER RUB RS   2-1/2,EACH,65.000,CLINTON,8,76887,58,210,11/9/2018,
A2001720,T-ACER SACR     2-1/2,EACH,65.000,CLINTON,8,76887,58,210,11/9/2018,
A2001724,T-ACER SACR         3,EACH,3.000,ADAMS,6,93711,101,550,11/9/2018,
A2001916,T-ACER SACR LE      2,EACH,14.000,KANE,1,61F04,83,450,11/9/2018,
A2002227,T-ALNUS GLUT CEA    3,EACH,2.000,WINNEBAGO,2,46903,99,705.6,11/9/2018,
A2002316,T-BETULA NIGRA      2,EACH,2.000,WINNEBAGO,2,46903,99,441.3,11/9/2018,
A2002320,T-BETULA NIGRA  2-1/2,EACH,55.000,CLINTON,8,76887,58,210,11/9/2018,
A2002366,T-BETULA NIGRA CL  6',EACH,13.000,ADAMS,6,93711,101,350,11/9/2018,
A2002566,T-CARP CAROL SF    6',EACH,11.000,KANE,1,61F04,83,475,11/9/2018,
A2002616,T-CARYA CORD        2,EACH,6.000,KANE,1,61F04,83,575,11/9/2018,
A2002820,T-CATALPA SPEC  2-1/2,EACH,3.000,KANE,1,61F04,83,425,11/9/2018,
A2002879,T-CELTIS OCCID CL   2,EACH,2.000,CHAMPAIGN,5,91576,96,375,11/9/2018,
A2002914,T-CELTIS OCCID  1-3/4,EACH,111.000,WINNEBAGO,2,64B87,45,430,11/9/2018,
A2002916,T-CELTIS OCCID      2,EACH,5.000,MCHENRY,1,60T13,2,384.38,11/9/2018,
A2002920,T-CELTIS OCCID  2-1/2,EACH,6.000,KANE,1,61F04,83,475,11/9/2018,
A2004514,T-GINKGO BIL AG 2-1/2,EACH,3.000,KANE,1,61F04,83,675,11/9/2018,
A2004514,T-GINKGO BIL AG 2-1/2,EACH,4.000,WILL,1,61F19,89,548,11/9/2018,
A2004720,T-GLED TRI-I SM 2-1/2,EACH,5.000,KANE,1,61F04,83,500,11/9/2018,
A2004720,T-GLED TRI-I SM 2-1/2,EACH,3.000,WILL,1,61F19,89,493,11/9/2018,
A2004820,T-GLED TRI-I SK 2-1/2,EACH,1.000,COOK,1,61F07,85,495,11/9/2018,
A2005020,T-GYMNOCLA DIO  2-1/2,EACH,6.000,KANE,1,61F04,83,475,11/9/2018,
A2005040,T-GYMNOC DE JFS 2-1/2,EACH,3.000,WILL,1,61F19,89,564,11/9/2018,
A2005120,T-JUGLANS NIGRA 2-1/2,EACH,5.000,KANE,1,61F04,83,500,11/9/2018,
A2005620,T-OSTRYA VIRG   2-1/2,EACH,16.000,KANE,1,61F04,83,475,11/9/2018,
A2005814,T-PLATANUS OCC  1-3/4,EACH,2.000,CHAMPAIGN,5,91576,96,375,11/9/2018,
A2006414,T-QUERCUS ALBA  1-3/4,EACH,3.000,CHAMPAIGN,5,91576,96,375,11/9/2018,
A2006420,T-QUERCUS ALBA  2-1/2,EACH,40.000,CLINTON,8,76887,58,210,11/9/2018,
A2006514,T-QUERCUS BICOL 1-3/4,EACH,111.000,WINNEBAGO,2,64B87,45,390,11/9/2018,
A2006516,T-QUERCUS BICOL     2,EACH,7.000,MCHENRY,1,60T13,2,384.38,11/9/2018,
A2006520,T-QUERCUS BICOL 2-1/2,EACH,3.000,WILL,1,61F19,89,572,11/9/2018,
A2006522,T-ULMUS PARV ALLE 2.5,EACH,2.000,WINNEBAGO,2,46903,99,540.1,11/9/2018,
A2006606,T-QUERCUS COCCI 2-1/2,EACH,3.000,WINNEBAGO,2,46903,99,612.5,11/9/2018,
A2006716,T-QUERCUS MACR      2,EACH,7.000,KANE,1,62F16,8,385,11/9/2018,
A2006716,T-QUERCUS MACR      2,EACH,7.000,MCHENRY,1,60T13,2,384.38,11/9/2018,
A2006814,T-QUERCUS MUEH  1-3/4,EACH,111.000,WINNEBAGO,2,64B87,45,450,11/9/2018,
A2007116,T-QUERCUS RUBRA     2,EACH,11.000,KANE,1,61F04,83,450,11/9/2018,
A2007620,T-TAXODIUM DIS  2-1/2,EACH,65.000,CLINTON,8,76887,58,210,11/9/2018,
A2007620,T-TAXODIUM DIS  2-1/2,EACH,9.000,KANE,1,62F16,8,405,11/9/2018,
A2007666,T-TAXODIUM DIS CL  6',EACH,17.000,ADAMS,6,93711,101,500,11/9/2018,
A2007920,T-TILIA AMER RD 2-1/2,EACH,16.000,KANE,1,61F04,83,475,11/9/2018,
A2008470,T-ULMUS AMER PRNC 2.5,EACH,13.000,KANE,1,61F04,83,525,11/9/2018,
A2008470,T-ULMUS AMER PRNC 2.5,EACH,10.000,KANE,1,62F16,8,440,11/9/2018,
A2008470,T-ULMUS AMER PRNC 2.5,EACH,4.000,WILL,1,61F19,89,547,11/9/2018,
A2018726,T-ULMUS CARP NH SE  2,EACH,2.000,KANE,1,61F04,83,500,11/9/2018,
B2000900,T-AMELAN ARBOR CL 6',EACH,2.000,ADAMS,6,93711,101,350,11/9/2018,
B2000964,T-AMELAN LAEV CL   5',EACH,43.000,KANE,1,61F04,83,350,11/9/2018,
B2001112,T-CERCIS CAN TF 1-1/2,EACH,1.000,ADAMS,6,93711,101,400,11/9/2018,
B2001116,T-CERCIS CAN TF     2,EACH,6.000,KANE,1,62F16,8,440,11/9/2018,
B2001116,T-CERCIS CAN TF     2,EACH,9.000,LAWRENCE,7,74619,27,310,11/9/2018,
B2001122,T-CERCIS CAN TF 2-1/2,EACH,65.000,CLINTON,8,76887,58,210,11/9/2018,
B2001167,T-CERCIS CAN (E R) 8',EACH,17.000,KANE,1,61F04,83,450,11/9/2018,
B2001266,T-CORNUS ALT CL    6',EACH,16.000,KANE,1,61F04,83,425,11/9/2018,
B2001770,T-CRAT CRU-VAR IN 8MH,EACH,12.000,KANE,1,61F04,83,500,11/9/2018,
B2001916,T-CRAT PHAE TF      2,EACH,6.000,KANE,1,62F16,8,335,11/9/2018,
B2002216,T-CRAT VR WK TF     2,EACH,6.000,COOK,1,62A36,5,440,11/9/2018,
B2003866,T-MALUS IOEN CL    6',EACH,10.000,KANE,1,62F16,8,330,11/9/2018,
B2004000,T-M ORANGE CRUSH 6 CF,EACH,8.000,COOK,1,62A36,5,400,11/9/2018,
B2004114,T-MALUS PF TF   1-3/4,EACH,56.000,WINNEBAGO,2,64B87,45,390,11/9/2018,
B2004566,T-MALUS R J CL     6',EACH,6.000,COOK,1,62A36,5,400,11/9/2018,
B2004586,T-MALUS R PK CL 7',EACH,16.000,KANE,1,61F04,83,400,11/9/2018,
B2005014,T-MALUS SND TF  1-3/4,EACH,56.000,WINNEBAGO,2,64B87,45,390,11/9/2018,
B2005068,T-MALUS SND CL     7',EACH,3.000,KANE,1,61F04,83,425,11/9/2018,
B2006016,T-SYRING PEK TF     2,EACH,10.000,KANE,1,62F16,8,425,11/9/2018,
B2006168,T-SYRING PEK M CL  7',EACH,7.000,KANE,1,61F04,83,400,11/9/2018,
