size,x1,x2,y1,y2,dim,tone,ttwo,x11,x22,y11,y22
6 X 10,12.0,48.0,12.0,30.0,440.428,109.3,218.5,11.6,40.2,11.6,29.1
7 X 12,16.8,67.2,16.8,42.0,410.293,109.3,218.5,16.4,57.4,16.4,41.1
9 X 12,21.6,86.4,21.6,54.0,380.373,174.7,349.5,21.1,84.5,21.1,52.8
10 X 14,28.0,112.0,28.0,70.0,350.453,203.9,407.9,27.5,110,27.5,68.8
11 X 16,35.2,140.8,35.2,88.0,320.318,203.9,407.9,34.6,134.8,34.6,86.4
12 X 18,43.2,172.8,43.2,108.0,290.398,229.4,458.8,42.6,165.3,42.6,106.4
13 X 20,52.0,208.0,52.0,130.0,260.263,254.8,509.8,51.4,198.6,51.4,128.4
14 X 22,61.6,246.4,61.6,154.0,230.343,280.3,560.6,61,234.9,61,152.4
15 X 24,72.0,288.0,72.0,180.0,200.208,305.7,611.5,71.2,270.2,71.2,178
18 X 24,86.4,345.6,86.4,216.0,170.288,349.6,699.3,85.4,341.7,85.4,213.5
20 X 24,96.0,384.0,96.0,240.0,140.368,378.7,757.3,94.6,378.3,94.6,236.5
