ExpL	TeD	mSlope	We_I	Le_I	Tp_f	z_f	Size	Type	Bearing	We	Le	Tp	Np	Ts	Ns	Te	S.Max%	W	z
54.7	1.0625	1.88	6	10	0.3125	3.875	6 X 10	Type I	6-a	6"	10"	0.3125	3	14ga.	2	1.0625	1.88	8"	3.875
91	1.8750	3.13	6	10	0.3125	3.875	6 X 10	Type I	6-b	6"	10"	0.3125	5	14ga.	4	1.875	3.13	8"	3.875
109.3	2.25	3.75	6	10	0.3125	3.875	6 X 10	Type I	6-c	6"	10"	0.3125	6	14ga.	5	2.25	3.75	8"	3.875
65.6	1.3125	1.93	7	12	0.3750	4.25	7 X 12	Type I	7-a	7"	12"	0.3750	3	3/32"	2	1.3125	1.93	8"	4.25
87.5	1.75	2.57	7	12	0.3750	4.25	7 X 12	Type I	7-b	7"	12"	0.3750	4	3/32"	3	1.75	2.57	8"	4.25
109.3	2.25	3.21	7	12	0.3750	4.25	7 X 12	Type I	7-c	7"	12"	0.3750	5	3/32"	4	2.25	3.21	8"	4.25
109.3	2.25	2.50	9	12	0.3750	5.5	9 X 12	Type I	9-a	9"	12"	0.3750	5	3/32"	4	2.25	2.50	8"	5.5
153	3.1875	3.50	9	12	0.3750	5.5	9 X 12	Type I	9-b	9"	12"	0.3750	7	3/32"	6	3.1875	3.50	8"	5.5
174.7	3.625	4.00	9	12	0.3750	5.5	9 X 12	Type I	9-c	9"	12"	0.3750	8	3/32"	7	3.625	4.00	8"	5.5
127.4	2.6875	2.63	10	14	0.4375	5.5	10 X 14	Type I	10-a	10"	14"	0.4375	5	1/8"	4	2.6875	2.63	8"	5.5
153	3.25	3.15	10	14	0.4375	5.5	10 X 14	Type I	10-b	10"	14"	0.4375	6	1/8"	5	3.25	3.15	8"	5.5
178.5	3.8125	3.68	10	14	0.4375	5.5	10 X 14	Type I	10-c	10"	14"	0.4375	7	1/8"	6	3.8125	3.68	8"	5.5
203.9	4.375	4.20	10	14	0.4375	5.5	10 X 14	Type I	10-d	10"	14"	0.4375	8	1/8"	7	4.375	4.20	8"	5.5
116.7	2.375	2.18	11	16	0.5	6.25	11 X 16	Type I	11-a	11"	16"	0.5	4	1/8"	3	2.375	2.18	8"	6.25
145.7	3	2.73	11	16	0.5	6.25	11 X 16	Type I	11-b	11"	16"	0.5	5	1/8"	4	3	2.73	8"	6.25
174.7	3.625	3.27	11	16	0.5	6.25	11 X 16	Type I	11-c	11"	16"	0.5	6	1/8"	5	3.625	3.27	8"	6.25
203.9	4.25	3.82	11	16	0.5	6.25	11 X 16	Type I	11-d	11"	16"	0.5	7	1/8"	6	4.25	3.82	8"	6.25
98.4	2.0625	1.69	12	18	0.5625	7.25	12 X 18	Type I	12-a	12"	18"	0.5625	3	3/16"	2	2.0625	1.69	10"	7.25
131.2	2.8125	2.25	12	18	0.5625	7.25	12 X 18	Type I	12-b	12"	18"	0.5625	4	3/16"	3	2.8125	2.25	10"	7.25
164	3.5625	2.81	12	18	0.5625	7.25	12 X 18	Type I	12-c	12"	18"	0.5625	5	3/16"	4	3.5625	2.81	10"	7.25
196.6	4.3125	3.38	12	18	0.5625	7.25	12 X 18	Type I	12-d	12"	18"	0.5625	6	3/16"	5	4.3125	3.38	10"	7.25
229.4	5.0625	3.94	12	18	0.5625	7.25	12 X 18	Type I	12-e	12"	18"	0.5625	7	3/16"	6	5.0625	3.94	10"	7.25
109.3	2.25	1.73	13	20	0.625	7.875	13 X 20	Type I	13-a	13"	20"	0.625	3	3/16"	2	2.25	1.73	12"	7.875
145.7	3.0625	2.31	13	20	0.625	7.875	13 X 20	Type I	13-b	13"	20"	0.625	4	3/16"	3	3.0625	2.31	12"	7.875
182.1	3.875	2.88	13	20	0.625	7.875	13 X 20	Type I	13-c	13"	20"	0.625	5	3/16"	4	3.875	2.88	12"	7.875
