ERT	TeD	We_I	Le_I	TbGr36	TbGr50	Size	Type	Bearing	We	Le	Tp	Np	Ts	Ns	Te	W	z	Dp	Ds	Hp
0.94	1.9375	6	10	1	1	6 X 10	Type III	6-a	6"	10"	0.3125	3	14 ga.	2	1.9375	8"	3.875	1	1.5	1.5
1.56	2.75	6	10	1	1	6 X 10	Type III	6-b	6"	10"	0.3125	5	14 ga.	4	2.75	8"	3.875	1	1.5	2.25
1.88	3.125	6	10	1	1	6 X 10	Type III	6-c	6"	10"	0.3125	6	14 ga.	5	3.125	8"	3.875	1	1.5	2.5
1.13	2.1875	7	12	1	1	7 X 12	Type III	7-a	7"	12"	0.375	3	3/32"	2	2.1875	8"	4.25	1	1.5	1.75
1.5	2.625	7	12	1.25	1	7 X 12	Type III	7-b	7"	12"	0.375	4	3/32"	3	2.625	8"	4.25	1	1.5	2.25
1.88	3.125	7	12	1.25	1	7 X 12	Type III	7-c	7"	12"	0.375	5	3/32"	4	3.125	8"	4.25	1	1.5	2.5
1.88	3.125	9	12	1.25	1.25	9 X 12	Type III	9-a	9"	12"	0.375	5	3/32"	4	3.125	8"	5.5	1.25	1.75	2.5
2.63	4.0625	9	12	1.5	1.25	9 X 12	Type III	9-b	9"	12"	0.375	7	3/32"	6	4.0625	8"	5.5	1.25	1.75	3.5
3	4.5	9	12	1.5	1.25	9 X 12	Type III	9-c	9"	12"	0.375	8	3/32"	7	4.5	8"	5.5	1.25	1.75	4
2.19	3.5625	10	14	1.5	1.25	10 X 14	Type III	10-a	10"	14"	0.4375	5	1/8"	4	3.5625	8"	5.5	1.25	1.75	3
2.63	4.125	10	14	1.75	1.5	10 X 14	Type III	10-b	10"	14"	0.4375	6	1/8"	5	4.125	8"	5.5	1.25	1.75	3.5
3.06	4.6875	10	14	1.75	1.5	10 X 14	Type III	10-c	10"	14"	0.4375	7	1/8"	6	4.6875	8"	5.5	1.25	1.75	4.25
3.5	5.25	10	14	2	1.75	10 X 14	Type III	10-d	10"	14"	0.4375	8	1/8"	7	5.25	8"	5.5	1.25	1.75	4.75
2	3.25	11	16	1.5	1.5	11 X 16	Type III	11-a	11"	16"	0.5	4	1/8"	3	3.25	8"	6.25	1.5	2	2.75
2.5	3.875	11	16	1.75	1.5	11 X 16	Type III	11-b	11"	16"	0.5	5	1/8"	4	3.875	8"	6.25	1.5	2	3.25
3	4.5	11	16	1.75	1.5	11 X 16	Type III	11-c	11"	16"	0.5	6	1/8"	5	4.5	8"	6.25	1.5	2	4
3.5	5.125	11	16	2	1.75	11 X 16	Type III	11-d	11"	16"	0.5	7	1/8"	6	5.125	8"	6.25	1.5	2	4.75
1.69	2.9375	12	18	1.75	1.5	12 X 18	Type III	12-a	12"	18"	0.5625	3	3/16"	2	2.9375	10"	7.25	1.5	2	2.5
2.25	3.6875	12	18	1.75	1.5	12 X 18	Type III	12-b	12"	18"	0.5625	4	3/16"	3	3.6875	10"	7.25	1.5	2	3.25
2.81	4.4375	12	18	2	1.75	12 X 18	Type III	12-c	12"	18"	0.5625	5	3/16"	4	4.4375	10"	7.25	1.5	2	4
3.38	5.1875	12	18	2.25	1.75	12 X 18	Type III	12-d	12"	18"	0.5625	6	3/16"	5	5.1875	10"	7.25	1.5	2	4.75
3.94	5.9375	12	18	2.25	2	12 X 18	Type III	12-e	12"	18"	0.5625	7	3/16"	6	5.9375	10"	7.25	1.5	2	5.5
1.88	3.125	13	20	1.75	1.5	13 X 20	Type III	13-a	13"	20"	0.625	3	3/16"	2	3.125	12"	7.875	1.5	2	2.75
2.5	3.9375	13	20	2	1.75	13 X 20	Type III	13-b	13"	20"	0.625	4	3/16"	3	3.9375	12"	7.875	1.5	2	3.5
3.13	4.75	13	20	2.25	2	13 X 20	Type III	13-c	13"	20"	0.625	5	3/16"	4	4.75	12"	7.875	1.5	2	4.25
