ExpL	ERT	TeD	We_I	Le_I	Size	Type	Bearing	We	Le	Tp	Np	Ts	Ns	Te	W	z
109.1	0.94	1.9375	6	10	6 X 10	Type II	6-a	6"	10"	0.3125	3	14 ga.	2	1.9375	8"	3.875
182.3	1.56	2.75	6	10	6 X 10	Type II	6-b	6"	10"	0.3125	5	14 ga.	4	2.75	8"	3.875
218.5	1.88	3.125	6	10	6 X 10	Type II	6-c	6"	10"	0.3125	6	14 ga.	5	3.125	8"	3.875
131.3	1.13	2.1875	7	12	7 X 12	Type II	7-a	7"	12"	0.375	3	3/32"	2	2.1875	8"	4.25
174.7	1.5	2.625	7	12	7 X 12	Type II	7-b	7"	12"	0.375	4	3/32"	3	2.625	8"	4.25
218.5	1.88	3.125	7	12	7 X 12	Type II	7-c	7"	12"	0.375	5	3/32"	4	3.125	8"	4.25
218.5	1.88	3.125	9	12	9 X 12	Type II	9-a	9"	12"	0.375	5	3/32"	4	3.125	8"	5.5
306	2.63	4.0625	9	12	9 X 12	Type II	9-b	9"	12"	0.375	7	3/32"	6	4.0625	8"	5.5
349.5	3	4.5	9	12	9 X 12	Type II	9-c	9"	12"	0.375	8	3/32"	7	4.5	8"	5.5
255.1	2.19	3.5625	10	14	10 X 14	Type II	10-a	10"	14"	0.4375	5	1/8"	4	3.5625	8"	5.5
306	2.63	4.125	10	14	10 X 14	Type II	10-b	10"	14"	0.4375	6	1/8"	5	4.125	8"	5.5
357	3.06	4.6875	10	14	10 X 14	Type II	10-c	10"	14"	0.4375	7	1/8"	6	4.6875	8"	5.5
407.9	3.5	5.25	10	14	10 X 14	Type II	10-d	10"	14"	0.4375	8	1/8"	7	5.25	8"	5.5
233.2	2	3.25	11	16	11 X 16	Type II	11-a	11"	16"	0.5	4	1/8"	3	3.25	8"	6.25
291.3	2.5	3.875	11	16	11 X 16	Type II	11-b	11"	16"	0.5	5	1/8"	4	3.875	8"	6.25
349.8	3	4.5	11	16	11 X 16	Type II	11-c	11"	16"	0.5	6	1/8"	5	4.5	8"	6.25
407.9	3.5	5.125	11	16	11 X 16	Type II	11-d	11"	16"	0.5	7	1/8"	6	5.125	8"	6.25
196.6	1.69	2.9375	12	18	12 X 18	Type II	12-a	12"	18"	0.5625	3	3/16"	2	2.9375	10"	7.25
262.3	2.25	3.6875	12	18	12 X 18	Type II	12-b	12"	18"	0.5625	4	3/16"	3	3.6875	10"	7.25
327.9	2.81	4.4375	12	18	12 X 18	Type II	12-c	12"	18"	0.5625	5	3/16"	4	4.4375	10"	7.25
393.6	3.38	5.1875	12	18	12 X 18	Type II	12-d	12"	18"	0.5625	6	3/16"	5	5.1875	10"	7.25
458.8	3.94	5.9375	12	18	12 X 18	Type II	12-e	12"	18"	0.5625	7	3/16"	6	5.9375	10"	7.25
218.5	1.88	3.125	13	20	13 X 20	Type II	13-a	13"	20"	0.625	3	3/16"	2	3.125	12"	7.875
291.3	2.5	3.9375	13	20	13 X 20	Type II	13-b	13"	20"	0.625	4	3/16"	3	3.9375	12"	7.875
364.1	3.13	4.75	13	20	13 X 20	Type II	13-c	13"	20"	0.625	5	3/16"	4	4.75	12"	7.875
436.7	3.75	5.5625	13	20	13 X 20	Type II	13-d	13"	20"	0.625	6	3/16"	5	5.5625	12"	7.875
509.8	4.38	6.375	13	20	13 X 20	Type II	13-e	13"	20"	0.625	7	3/16"	6	6.375	12"	7.875
240.4	2.06	3.3125	14	22	14 X 22	Type II	14-a	14"	22"	0.6875	3	3/16"	2	3.3125	14"	8.75
320.7	2.75	4.1875	14	22	14 X 22	Type II	14-b	14"	22"	0.6875	4	3/16"	3	4.1875	14"	8.75
400.5	3.44	5.0625	14	22	14 X 22	Type II	14-c	14"	22"	0.6875	5	3/16"	4	5.0625	14"	8.75
480.8	4.13	5.9375	14	22	14 X 22	Type II	14-d	14"	22"	0.6875	6	3/16"	5	5.9375	14"	8.75
560.6	4.81	6.8125	14	22	14 X 22	Type II	14-e	14"	22"	0.6875	7	3/16"	6	6.8125	14"	8.75
262.2	2.25	3.5	15	24	15 X 24	Type II	15-a	15"	24"	0.75	3	3/16"	2	3.5	16"	9.375
349.8	3	4.4375	15	24	15 X 24	Type II	15-b	15"	24"	0.75	4	3/16"	3	4.4375	16"	9.375
437	3.75	5.375	15	24	15 X 24	Type II	15-c	15"	24"	0.75	5	3/16"	4	5.375	16"	9.375
524.5	4.5	6.3125	15	24	15 X 24	Type II	15-d	15"	24"	0.75	6	3/16"	5	6.3125	16"	9.375
611.5	5.25	7.25	15	24	15 X 24	Type II	15-e	15"	24"	0.75	7	3/16"	6	7.25	16"	9.375
349.8	3	4.4375	18	24	18 X 24	Type II	18-a	18"	24"	0.75	4	3/16"	3	4.4375	19"	10.375
437	3.75	5.375	18	24	18 X 24	Type II	18-b	18"	24"	0.75	5	3/16"	4	5.375	19"	10.375
524.5	4.5	6.3125	18	24	18 X 24	Type II	18-c	18"	24"	0.75	6	3/16"	5	6.3125	19"	10.375
612	5.25	7.25	18	24	18 X 24	Type II	18-d	18"	24"	0.75	7	3/16"	6	7.25	19"	10.375
699.3	6	8.1875	18	24	18 X 24	Type II	18-e	18"	24"	0.75	8	3/16"	7	8.1875	19"	10.375
378.8	3.25	4.6875	20	24	20 X 24	Type II	20-a	20"	24"	0.8125	4	3/16"	3	4.6875	21"	10.375
473.4	4.06	5.6875	20	24	20 X 24	Type II	20-b	20"	24"	0.8125	5	3/16"	4	5.6875	21"	10.375
568	4.88	6.6875	20	24	20 X 24	Type II	20-c	20"	24"	0.8125	6	3/16"	5	6.6875	21"	10.375
662.7	5.69	7.6875	20	24	20 X 24	Type II	20-d	20"	24"	0.8125	7	3/16"	6	7.6875	21"	10.375
757.3	6.5	8.6875	20	24	20 X 24	Type II	20-e	20"	24"	0.8125	8	3/16"	7	8.6875	21"	10.375
